District,Perturbation (%),Maize_Production (old),Maize_Production (new),Percentage Change
BAGALKOT,10,251699,257715.1728,2.390225169
BALLARI,10,104045,155511.799,49.46590317
BELAGAVI,10,576758,622857.4548,7.992859193
BENGALURU,10,2879,2203.25396,-23.47155402
BENGALURU(R),10,42583,42325.09518,-0.605652076
BIDAR,10,2791,-1167.220014,-141.8208532
CHAMARAJANAGAR,10,147886,118310.9935,-19.9985168
CHIKKABALLAPURA,10,105491,190810.2131,80.87819157
CHIKKAMAGALURU,10,61353,99081.90011,61.4947926
CHITRADURGA,10,271975,289189.1445,6.32931134
DAKSHINA KANNADA,10,0,0,0
DAVANAGERE,10,593544,573774.4594,-3.330762445
DHARAWAD,10,90634,120669.0687,33.13885372
GADAG,10,138476,162924.6719,17.65553011
HASSAN,10,333937,317290.7111,-4.984859103
HAVERI,10,413487,421856.741,2.024184794
KALABURAGI,10,14621,5982.18695,-59.08496717
KODAGU,10,17921,27603.26264,54.02746856
KOLAR,10,1759,-1227.398062,-169.778173
KOPPAL,10,190252,174468.4148,-8.2961468
MANDYA,10,19387,15837.98255,-18.3061714
MYSURU,10,137154,137269.801,0.084431384
RAICHUR,10,723,633.6281695,-12.36124904
RAMANAGARA,10,10450,3091.581026,-70.41549257
SHIVAMOGGA,10,226532,156346.4514,-30.98261995
TUMAKURU,10,66868,73231.14483,9.515978991
UDUPI,10,109,-5429.703038,-5081.378934
UTTARA KANNADA,10,24088,13542.34303,-43.77971175
Vijayanagara,10,104045,155526.097,49.47964531
VIJAYAPURA,10,226327,181416.3455,-19.84325976
YADGIRI,10,2673,-1244.624638,-146.5628372
