District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change,Crop,Districts
Vijayanagara,-10,206116,209110.2145,1.452684161,Rice,VNG
VIJAYAPURA,-10,170,-14165.49316,-8432.643033,Rice,VJP
YADGIRI,-10,224659,226093.4986,0.638522636,Rice,YDR
BAGALKOT,-10,251699,235043.0705,-6.617399957,Maize,BKT
BALLARI,-10,104045,147205.4842,41.48251643,Maize,BLL
BELAGAVI,-10,576758,575133.65,-0.281634591,Maize,BLG
BENGALURU,-10,2879,1770.200741,-38.51334696,Maize,BLR
BENGALURU(R),-10,42583,39324.53902,-7.652023053,Maize,BLR(R)
BIDAR,-10,2791,-1413.683275,-150.6514968,Maize,BDR
CHAMARAJANAGAR,-10,147886,111106.6027,-24.87010083,Maize,CNR
CHIKKABALLAPURA,-10,105491,182709.2253,73.19887506,Maize,CKA
CHIKKAMAGALURU,-10,61353,91021.04359,48.35630465,Maize,CMG
CHITRADURGA,-10,271975,278414.3031,2.367608469,Maize,CDA
DAKSHINA KANNADA,-10,0,0,0,Maize,DKA
DAVANAGERE,-10,593544,548372.3636,-7.610494989,Maize,DVG
DHARAWAD,-10,90634,114296.7858,26.10806741,Maize,DWD
GADAG,-10,138476,157398.8489,13.66507472,Maize,GDG
HASSAN,-10,333937,300450.8077,-10.02769754,Maize,HSN
HAVERI,-10,413487,400379.839,-3.169908857,Maize,HVR
KALABURAGI,-10,14621,5280.393982,-63.88486436,Maize,KLB
KODAGU,-10,17921,24125.41506,34.62091992,Maize,KDG
KOLAR,-10,1759,-1445.597666,-182.1829259,Maize,KLR
KOPPAL,-10,190252,163599.5428,-14.00902865,Maize,KPL
MANDYA,-10,19387,14406.10444,-25.6919356,Maize,MDY
MYSURU,-10,137154,130405.7345,-4.920210522,Maize,MYS
RAICHUR,-10,723,572.8007957,-20.77444043,Maize,RCR
RAMANAGARA,-10,10450,2871.955947,-72.51716797,Maize,RGA
SHIVAMOGGA,-10,226532,146040.2223,-35.53218869,Maize,SMG
TUMAKURU,-10,66868,70516.96484,5.456967214,Maize,TKR
UDUPI,-10,109,-5431.980932,-5083.468745,Maize,UPI
UTTARA KANNADA,-10,24088,12528.72658,-47.98768439,Maize,UTK
Vijayanagara,-10,104045,147220.4292,41.49688037,Maize,VNG
VIJAYAPURA,-10,226327,171118.1954,-24.39337976,Maize,VJP
YADGIRI,-10,2673,-1608.929046,-160.1918835,Maize,YDR
BAGALKOT,10,85,-14223.84396,-16833.93407,Rice,BKT
BALLARI,10,206116,220137.6849,6.802812438,Rice,BLL
BELAGAVI,10,177552,240248.3199,35.31152558,Rice,BLG
BENGALURU,10,3376,-9881.544466,-392.6997768,Rice,BLR
BENGALURU(R),10,2354,-11290.32575,-579.623014,Rice,BLR(R)
BIDAR,10,2036,-8924.828452,-538.3511028,Rice,BDR
CHAMARAJANAGAR,10,45856,39800.76587,-13.2048895,Rice,CNR
CHIKKABALLAPURA,10,2698,-9151.881999,-439.2098591,Rice,CKA
CHIKKAMAGALURU,10,110533,126662.8751,14.59281397,Rice,CMG
CHITRADURGA,10,4566,-9378.549469,-305.3996818,Rice,CDA
DAKSHINA KANNADA,10,132588,180814.8598,36.37347255,Rice,DKA
DAVANAGERE,10,489505,391661.8329,-19.98818544,Rice,DVG
DHARAWAD,10,33989,74218.23284,118.3595659,Rice,DWD
GADAG,10,7258,-7605.243886,-204.7842916,Rice,GDG
HASSAN,10,143705,153534.0452,6.839737819,Rice,HSN
HAVERI,10,125422,133031.5135,6.06712819,Rice,HVR
KALABURAGI,10,7888,1651.135646,-79.06775296,Rice,KLB
KODAGU,10,86303,141915.5056,64.43867024,Rice,KDG
KOLAR,10,864,-12646.16478,-1563.676479,Rice,KLR
KOPPAL,10,243505,206469.9216,-15.20916546,Rice,KPL
MANDYA,10,246543,244681.9239,-0.754868785,Rice,MDY
MYSURU,10,354227,360714.3586,1.831412798,Rice,MYS
RAICHUR,10,492342,496322.8311,0.808549964,Rice,RCR
