District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change
BAGALKOT,10,85,-14223.84396,-16833.93407
BALLARI,10,206116,220137.6849,6.802812438
BELAGAVI,10,177552,240248.3199,35.31152558
BENGALURU,10,3376,-9881.544466,-392.6997768
BENGALURU(R),10,2354,-11290.32575,-579.623014
BIDAR,10,2036,-8924.828452,-538.3511028
CHAMARAJANAGAR,10,45856,39800.76587,-13.2048895
CHIKKABALLAPURA,10,2698,-9151.881999,-439.2098591
CHIKKAMAGALURU,10,110533,126662.8751,14.59281397
CHITRADURGA,10,4566,-9378.549469,-305.3996818
DAKSHINA KANNADA,10,132588,180814.8598,36.37347255
DAVANAGERE,10,489505,391661.8329,-19.98818544
DHARAWAD,10,33989,74218.23284,118.3595659
GADAG,10,7258,-7605.243886,-204.7842916
HASSAN,10,143705,153534.0452,6.839737819
HAVERI,10,125422,133031.5135,6.06712819
KALABURAGI,10,7888,1651.135646,-79.06775296
KODAGU,10,86303,141915.5056,64.43867024
KOLAR,10,864,-12646.16478,-1563.676479
KOPPAL,10,243505,206469.9216,-15.20916546
MANDYA,10,246543,244681.9239,-0.754868785
MYSURU,10,354227,360714.3586,1.831412798
RAICHUR,10,492342,496322.8311,0.808549964
RAMANAGARA,10,12128,1539.687662,-87.30468616
SHIVAMOGGA,10,384974,379988.962,-1.294902511
TUMAKURU,10,26042,23971.58956,-7.950274331
UDUPI,10,138156,141246.1788,2.236731485
UTTARA KANNADA,10,152981,229922.9672,50.29511322
Vijayanagara,10,206116,220132.5761,6.80033384
VIJAYAPURA,10,170,-14160.31149,-8429.594991
YADGIRI,10,224659,246604.5195,9.768368725
