District,Perturbation (%),Maize_Production (old),Maize_Production (new),Percentage Change
BAGALKOT,20,251699,417971.608,66.06009875
BALLARI,20,104045,163434.3548,57.08045056
BELAGAVI,20,576758,861845.0454,49.42923123
BENGALURU,20,2879,23933.59021,731.3160893
BENGALURU(R),20,42583,69425.36282,63.03539634
BIDAR,20,2791,20627.53444,639.0732512
CHAMARAJANAGAR,20,147886,143910.1416,-2.688461686
CHIKKABALLAPURA,20,105491,159796.3113,51.47862026
CHIKKAMAGALURU,20,61353,159085.2539,159.2949878
CHITRADURGA,20,271975,207172.4365,-23.82666181
DAKSHINA KANNADA,20,0,0,0
DAVANAGERE,20,593544,466342.4339,-21.43085704
DHARAWAD,20,90634,129166.609,42.5145188
GADAG,20,138476,114168.784,-17.55337823
HASSAN,20,333937,314634.9903,-5.780135076
HAVERI,20,413487,396794.6964,-4.036959713
KALABURAGI,20,14621,28695.20018,96.26017492
KODAGU,20,17921,77882.15285,334.5859765
KOLAR,20,1759,20126.75063,1044.215499
KOPPAL,20,190252,208838.4982,9.769410138
MANDYA,20,19387,41631.06352,114.7370069
MYSURU,20,137154,137880.1772,0.529461216
RAICHUR,20,723,17338.38315,2298.116618
RAMANAGARA,20,10450,20152.00762,92.84217822
SHIVAMOGGA,20,226532,198869.4253,-12.21133204
TUMAKURU,20,66868,64351.26577,-3.76373487
UDUPI,20,109,16300.98624,14855.03325
UTTARA KANNADA,20,24088,34220.18038,42.06318655
Vijayanagara,20,104045,163422.892,57.06943338
VIJAYAPURA,20,226327,198726.28,-12.1950629
YADGIRI,20,2673,22715.47854,749.8121414
