District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change
BAGALKOT,-10,85,22053.22512,25844.97073
BALLARI,-10,206116,201515.1519,-2.232164453
BELAGAVI,-10,177552,182278.137,2.661832598
BENGALURU,-10,3376,27510.72287,714.8910803
BENGALURU(R),-10,2354,23779.60886,910.178796
BIDAR,-10,2036,23931.50228,1075.417597
CHAMARAJANAGAR,-10,45856,46345.30753,1.067052367
CHIKKABALLAPURA,-10,2698,24230.43777,798.0888721
CHIKKAMAGALURU,-10,110533,180432.2795,63.23838082
CHITRADURGA,-10,4566,23943.49907,424.3867513
DAKSHINA KANNADA,-10,132588,117930.6526,-11.05480694
DAVANAGERE,-10,489505,250562.8196,-48.81302141
DHARAWAD,-10,33989,48045.12468,41.3549227
GADAG,-10,7258,25129.98441,246.2384184
HASSAN,-10,143705,101044.1639,-29.68639647
HAVERI,-10,125422,93053.85551,-25.80738984
KALABURAGI,-10,7888,26100.99506,230.8949678
KODAGU,-10,86303,204722.3072,137.2134308
KOLAR,-10,864,23139.1564,2578.143102
KOPPAL,-10,243505,173762.964,-28.64090513
MANDYA,-10,246543,220660.3827,-10.49821627
MYSURU,-10,354227,215408.7075,-39.18907719
RAICHUR,-10,492342,473947.4604,-3.736130487
RAMANAGARA,-10,12128,24750.95756,104.0811144
SHIVAMOGGA,-10,384974,213083.046,-44.65001637
TUMAKURU,-10,26042,33503.79012,28.6529073
UDUPI,-10,138156,53473.72476,-61.29467793
UTTARA KANNADA,-10,152981,92212.15981,-39.72312914
Vijayanagara,-10,206116,201511.6956,-2.233841312
VIJAYAPURA,-10,170,22054.08411,12872.99065
YADGIRI,-10,224659,356071.4056,58.49416475
